Party,Criminal Case,Total Assets,Liabilities,state,Education,SC,ST,Doctor,Advocate
AITC,3,90000000,0,WEST BENGAL,8th Pass,0,0,0,0
BJP,1,6600000,2500000,MADHYA PRADESH,Graduate Professional,0,0,0,0
YSRCP,1,150000000,1000000,UTTAR PRADESH,Post Graduate,0,1,0,0
YSRCP,0,140000000,1600000,ANDHRA PRADESH,8th Pass,0,0,0,0
AAP,0,6400000,0,KERALA,Post Graduate,0,0,0,0
BJP,1,10000000,0,UTTAR PRADESH,Graduate Professional,0,0,0,0
BJP,3,10000000,400000,UTTAR PRADESH,12th Pass,0,0,0,0
BJP,0,630000000,1200000,GUJARAT,Others,0,1,0,0
BJP,5,6100000,0,ANDHRA PRADESH,12th Pass,0,0,0,0
INC,2,490000000,130000000,KARNATAKA,Graduate Professional,0,0,0,0
INC,0,40000000,60000000,CHHATTISGARH,Post Graduate,0,1,0,0
SP,6,30000000,8500000,UTTAR PRADESH,Graduate Professional,0,0,0,0
INC,1,100000000,80000000,GOA,12th Pass,0,0,0,0
YSRCP,3,5700000,700000,ANDHRA PRADESH,Doctorate,0,0,0,0
INC,1,24000,73000,UTTAR PRADESH,Graduate,0,0,0,0
INC,13,800000000,74000,KARNATAKA,Graduate Professional,0,0,0,0
BJP,1,8800000,0,WEST BENGAL,Post Graduate,1,0,0,0
AIADMK,0,10000000,10000000,MAHARASHTRA,12th Pass,1,0,0,0
BJP,0,60000000,1200000,GUJARAT,Post Graduate,0,0,0,0
BJP,1,10000000,20000000,ASSAM,Graduate Professional,0,0,0,0
RJD,0,10000000,500000,BIHAR,Doctorate,0,0,0,0
BJP,0,50000000,50000000,MAHARASHTRA,Graduate Professional,0,0,0,0
IND,0,220000000,0,NAGALAND,10th Pass,0,0,0,0
CPI(M),7,280000000,0,KERALA,Graduate Professional,0,0,0,1
BJP,0,7900000,3000000,TRIPURA,12th Pass,0,0,0,0
NCP,0,40000000,10000000,MAHARASHTRA,Doctorate,0,0,0,0
BJP,1,40000000,9400000,HARYANA,Post Graduate,0,0,0,0
BJP,0,10000000,10000000,GUJARAT,10th Pass,0,1,0,0
INC,10,40000000,20000000,KARNATAKA,Graduate Professional,0,0,0,0
IND,0,0,0,TRIPURA,12th Pass,0,0,0,0
INC,3,40000000,700000,KARNATAKA,10th Pass,0,0,0,0
BJP,15,4300000,4300000,UTTAR PRADESH,Post Graduate,1,0,0,0
INC,1,590000000,470000000,MADHYA PRADESH,Post Graduate,0,0,0,0
INC,0,30000000,0,CHHATTISGARH,Post Graduate,1,0,0,0
RJD,6,40000000,10000000,BIHAR,12th Pass,0,0,0,0
BJP,0,30000000,2900000,MEGHALAYA,12th Pass,0,1,0,0
CPI(M),6,5000000,10000000,MANIPUR,Graduate Professional,0,0,0,0
INC,1,60000000,1300000,KARNATAKA,12th Pass,0,0,0,0
AITC,4,60000000,500000,WEST BENGAL,Post Graduate,1,0,0,0
BJP,1,130000000,2000000,UTTAR PRADESH,Post Graduate,0,0,1,0
AAP,1,4000000,74000,DELHI,10th Pass,0,0,0,0
SHS,3,90000000,40000000,MAHARASHTRA,12th Pass,0,0,0,0
YSRCP,0,50000000,300000,ANDHRA PRADESH,12th Pass,0,0,0,0
INC,0,0,8200000,JHARKHAND,10th Pass,0,0,0,0
BJP,1,10000000,8900000,JHARKHAND,12th Pass,0,0,0,0
BJP,0,8000000,2900000,UTTAR PRADESH,Literate,0,0,0,0
BJP,0,10000000,3100000,MADHYA PRADESH,12th Pass,0,0,0,0
AITC,0,60000000,10000000,WEST BENGAL,10th Pass,0,0,0,0
INC,1,7000000,200,KARNATAKA,10th Pass,0,0,0,0
BJP,0,0,0,GUJARAT,5th Pass,1,0,0,0
DMK,23,6700000,7900000,TAMIL NADU,Graduate Professional,0,0,0,0
BJP,0,90000000,600000,GUJARAT,12th Pass,0,1,0,0
BJP,1,50000000,100000000,MAHARASHTRA,12th Pass,0,0,0,0
BJP,1,210000000,150000000,KARNATAKA,Graduate,0,0,0,0
BJP,0,0,10000000,CHHATTISGARH,Graduate Professional,0,1,0,0
AITC,0,4900000,1700000,WEST BENGAL,8th Pass,0,0,0,0
YSRCP,1,140000000,10000000,ANDHRA PRADESH,Graduate,0,0,0,0
INC,0,0,70000000,KARNATAKA,Post Graduate,0,0,0,0
CPI(M),0,10000000,100000,KERALA,12th Pass,0,0,0,0
CPI(M),6,0,0,KERALA,Graduate Professional,0,0,0,0
BJP,0,10000000,170000000,UTTAR PRADESH,Post Graduate,0,0,0,0
BJP,2,30000000,4700000,UTTAR PRADESH,12th Pass,1,0,0,0
BJP,0,170000000,200000,MANIPUR,Graduate,0,0,0,0
NCP,1,40000000,20000000,MAHARASHTRA,10th Pass,0,0,0,0
BJP,0,70000000,4500000,BIHAR,Graduate Professional,0,0,1,0
AITC,11,6400000,300000,WEST BENGAL,Post Graduate,0,0,0,0
AAP,3,2100000,60000000,BIHAR,Graduate Professional,0,0,0,0
BJP,1,10000000,10000000,MAHARASHTRA,12th Pass,0,0,0,0
AIADMK,4,10000000,2900000,TAMIL NADU,10th Pass,0,0,0,0
BJP,0,70000000,7500000,TAMIL NADU,Graduate,0,0,0,0
AITC,25,90000000,2400000,WEST BENGAL,Post Graduate,0,0,0,0
AAP,1,5500000,600000,DELHI,12th Pass,0,1,0,0
BJP,0,60000000,0,GUJARAT,8th Pass,0,0,0,0
CPI(M),6,5000000,0,KERALA,Post Graduate,0,0,0,0
RJD,0,10000000,0,UTTAR PRADESH,12th Pass,0,0,0,0
BJP,0,10000000,10000000,MADHYA PRADESH,Doctorate,0,0,0,0
SP,1,130000000,1000000,UTTAR PRADESH,Post Graduate,1,0,1,0
BJP,0,60000000,0,UTTAR PRADESH,12th Pass,1,0,0,0
BJD,0,30000000,1600000,ODISHA,Post Graduate,0,0,0,0
BJP,0,10000000,9800000,CHHATTISGARH,Others,0,0,0,0
BJP,0,6300000,2300000,KARNATAKA,12th Pass,1,0,0,0
BJP,1,10000000,100000,BIHAR,Post Graduate,0,0,0,0
AAP,0,0,8200000,DELHI,12th Pass,0,0,0,0
BJP,3,10000000,40000000,GUJARAT,8th Pass,0,0,0,0
BJP,0,10000000,20000000,UTTAR PRADESH,Post Graduate,0,0,0,0
BJP,2,140000000,200000000,UTTAR PRADESH,Post Graduate,0,0,0,0
BJP,0,60000000,0,UTTAR PRADESH,Literate,1,0,0,0
INC,1,5600000,8500000,KARNATAKA,Post Graduate,0,0,0,0
BJP,0,6800000,5900000,CHHATTISGARH,Post Graduate,1,0,0,0
DMK,3,90000000,30000000,TAMIL NADU,12th Pass,0,0,0,0
BJP,0,20000000,10000000,GUJARAT,12th Pass,0,0,0,0
INC,1,40000000,0,KERALA,Graduate Professional,1,0,0,1
AIADMK,0,40000000,1500000,TAMIL NADU,Post Graduate,1,0,0,0
BJP,0,10000000,700000,UTTARAKHAND,Others,0,0,0,0
BJP,1,9000000,0,WEST BENGAL,12th Pass,0,0,0,0
RJD,6,20000000,500000,BIHAR,Graduate Professional,0,0,0,0
AAP,0,0,1500000,DELHI,Graduate Professional,0,0,0,0
BJP,0,30000000,0,JHARKHAND,10th Pass,0,0,0,0
DMK,0,90000000,1300000,TAMIL NADU,Graduate Professional,0,0,0,0
INC,7,9300000,230000000,KARNATAKA,Graduate,0,0,0,0
BJP,0,10000000,10000000,UTTAR PRADESH,12th Pass,1,0,0,0
AAP,0,10000000,400000,DELHI,12th Pass,0,0,0,0
BJP,0,50000000,700000,UTTAR PRADESH,Others,0,0,0,0
DMK,22,10000000,4300000,TAMIL NADU,10th Pass,0,0,0,0
BJP,1,10000000,0,UTTAR PRADESH,12th Pass,1,0,0,0
BJP,0,40000000,130000000,MANIPUR,Graduate,0,0,0,0
BJP,0,30000000,0,GUJARAT,10th Pass,0,1,0,0
CPI(M),1,4000000,0,NAGALAND,12th Pass,0,0,0,0
IND,1,7000000,110000000,KARNATAKA,Graduate Professional,0,0,0,0
JMM,0,40000000,0,JHARKHAND,Graduate,0,1,0,0
INC,0,110000000,4100000,MAHARASHTRA,Graduate Professional,0,1,0,0
INC,0,1100000,3700000,KARNATAKA,Graduate Professional,0,0,0,0
AIADMK,0,20000000,0,WEST BENGAL,10th Pass,0,0,0,0
INC,0,0,4800000,HARYANA,Graduate Professional,0,0,0,0
BJP,8,630000000,7200000,RAJASTHAN,Doctorate,0,0,0,0
JD(U),0,4000000,1600000,RAJASTHAN,10th Pass,0,0,0,0
BJP,6,90000000,1100000,UTTAR PRADESH,Graduate Professional,0,0,0,0
AITC,1,10000000,500000,WEST BENGAL,Graduate Professional,0,0,0,0
SP,1,20000000,0,UTTAR PRADESH,Graduate,0,0,0,0
NCP,0,140000000,100000,MAHARASHTRA,12th Pass,0,0,0,0
AAP,29,10000000,8200000,DELHI,12th Pass,0,0,0,0
BJP,0,70000000,0,UTTARAKHAND,10th Pass,0,0,0,0
BJP,0,130000000,20000000,UTTAR PRADESH,Graduate Professional,0,0,1,0
YSRCP,0,6000000,10000000,TAMIL NADU,12th Pass,0,0,0,0
BJP,0,50000000,600000,CHHATTISGARH,Graduate,1,0,0,0
INC,0,90000000,0,HARYANA,10th Pass,0,0,0,0
RJD,4,10000000,0,BIHAR,8th Pass,0,0,0,0
BJP,0,0,400000,ASSAM,12th Pass,0,0,0,0
INC,1,20000000,1000000,PUNJAB,Post Graduate,0,0,0,0
RJD,7,10000000,1100000,BIHAR,12th Pass,0,0,0,0
JMM,0,40000000,0,JHARKHAND,Graduate,0,0,0,0
BJP,0,20000000,2300000,UTTAR PRADESH,12th Pass,1,0,0,0
BJP,0,80000000,4100000,NAGALAND,12th Pass,0,1,0,0
BJP,0,15000,3300000,CHHATTISGARH,Graduate,0,1,0,0
BJP,0,10000000,10000000,WEST BENGAL,Graduate,1,0,0,0
INC,0,9900000,5500000,TRIPURA,12th Pass,0,0,0,0
YSRCP,0,8800000,20000000,ANDHRA PRADESH,12th Pass,0,0,0,0
BJP,1,20000000,900000,MADHYA PRADESH,12th Pass,0,0,0,0
IND,4,90000000,0,KERALA,Graduate Professional,0,0,0,0
SHS,0,0,40000000,MAHARASHTRA,12th Pass,1,0,0,0
CPI(M),1,40000000,0,KERALA,Graduate Professional,0,0,0,1
RJD,0,20000000,10000000,BIHAR,Graduate,1,0,0,0
BJP,0,80000000,10000000,MAHARASHTRA,Graduate,0,0,0,0
BJP,6,10000000,400000,ARUNACHAL PRADESH,12th Pass,0,0,0,0
INC,0,340000000,0,HARYANA,Graduate Professional,0,0,0,0
INC,13,200000000,5500000,KARNATAKA,Graduate Professional,0,0,0,0
BJP,0,100000000,10000000,HARYANA,10th Pass,0,0,0,0
BJP,1,100000000,2300000,MADHYA PRADESH,10th Pass,0,0,0,0
RJD,1,20000000,100000,BIHAR,Doctorate,0,0,0,0
BJP,0,6700000,50000000,ARUNACHAL PRADESH,Post Graduate,0,0,0,0
INC,1,10000000,6900000,KERALA,Graduate Professional,0,0,0,1
BJP,0,20000000,2700000,MEGHALAYA,12th Pass,0,0,0,0
BJP,3,30000000,1600000,MAHARASHTRA,12th Pass,0,0,0,0
BJP,0,20000000,1300000,MAHARASHTRA,Graduate Professional,0,0,0,0
INC,0,2500000,20000000,KARNATAKA,Graduate,0,0,0,0
AITC,0,30000000,500000,WEST BENGAL,12th Pass,1,0,0,0
JMM,0,220000000,1900000,JHARKHAND,10th Pass,0,1,0,0
AITC,0,9000000,0,WEST BENGAL,Post Graduate,0,0,0,0
BJP,0,5600000,5300000,UTTAR PRADESH,8th Pass,0,0,0,0
BJP,0,30000000,1600000,ANDHRA PRADESH,12th Pass,0,0,0,0
CPI(M),0,10000000,170000000,TAMIL NADU,Graduate Professional,0,0,0,0
AIADMK,11,10000000,2700000,MANIPUR,12th Pass,0,0,0,0
BJP,0,20000000,10000000,UTTAR PRADESH,Graduate,0,0,0,0
INC,2,40000000,20000000,KARNATAKA,Graduate Professional,0,0,0,0
BJP,0,6600000,3700000,ARUNACHAL PRADESH,10th Pass,0,0,0,0
BJP,0,60000000,2700000,GUJARAT,12th Pass,0,0,0,0
RJD,0,10000000,1500000,MADHYA PRADESH,Post Graduate,0,0,1,0
BJP,0,350000000,300000,MADHYA PRADESH,Graduate Professional,0,0,0,0
AITC,0,3500000,0,WEST BENGAL,12th Pass,0,0,0,0
INC,1,40000000,140000000,MAHARASHTRA,Doctorate,0,0,0,0
AIADMK,0,0,900000,TAMIL NADU,10th Pass,1,0,0,0
INC,1,40000000,4700000,MADHYA PRADESH,Graduate,0,0,0,0
YSRCP,4,150000000,9600000,ANDHRA PRADESH,8th Pass,0,0,0,0
INC,1,1000000,3700000,HIMACHAL PRADESH,Graduate Professional,0,0,0,0
JD(S),0,260000000,180000000,KARNATAKA,Doctorate,0,0,0,0
BJP,0,100000000,3800000,GUJARAT,Post Graduate,0,0,0,0
INC,1,8900000,4600000,KERALA,Graduate Professional,0,0,0,0
BJP,0,60000000,20000000,UTTAR PRADESH,12th Pass,1,0,0,0
BJP,0,30000000,0,GUJARAT,10th Pass,0,0,0,0
RJD,0,20000000,100000,BIHAR,Doctorate,1,0,0,0
YSRCP,0,10000000,700000,ANDHRA PRADESH,Post Graduate,0,0,0,0
BJD,0,5700000,1900000,ODISHA,8th Pass,0,0,0,0
BJP,1,1800000,8500000,WEST BENGAL,10th Pass,0,0,0,0
BJP,0,10000000,400000,GUJARAT,12th Pass,1,1,0,0
BJP,0,150000000,20000000,TAMIL NADU,Graduate,0,1,0,0
BJP,0,50000000,20000000,UTTAR PRADESH,12th Pass,0,0,0,0
BJP,0,10000000,0,MADHYA PRADESH,5th Pass,1,0,0,0
INC,0,80000000,10000000,HARYANA,Graduate,0,0,0,0
BJD,0,300000000,700000,ODISHA,Post Graduate,0,0,0,0
BJD,17,220000000,1400000,KERALA,8th Pass,0,0,0,0
BJP,0,4600000,10000000,KARNATAKA,Graduate,0,0,0,0
SP,0,40000000,1800000,UTTAR PRADESH,Post Graduate,1,0,0,0
AITC,1,0,0,KERALA,Post Graduate,0,0,0,0
INC,1,400000,770000000,KARNATAKA,Graduate Professional,0,0,0,0
YSRCP,2,140000000,10000000,ANDHRA PRADESH,Graduate,0,0,0,0
INC,0,30000000,700000,ODISHA,Post Graduate,0,0,0,0
SP,0,130000000,1000000,UTTAR PRADESH,Graduate Professional,1,0,1,0
NCP,4,10000000,4100000,MEGHALAYA,Post Graduate,0,1,0,0
BJP,1,220000000,9400000,UTTAR PRADESH,Literate,1,0,0,0
BJP,0,9500000,2000000,ARUNACHAL PRADESH,Graduate,0,0,0,0
AIADMK,22,10000000,2900000,WEST BENGAL,10th Pass,0,0,0,0
AITC,11,5000000,0,WEST BENGAL,Post Graduate,1,0,0,0
BJP,0,140000000,10000000,GUJARAT,12th Pass,0,1,0,0
CPI(M),6,5900000,1400000,KERALA,Graduate Professional,0,0,0,1
DMK,1,20000000,1700000,TAMIL NADU,12th Pass,0,0,0,0
JD(U),0,10000000,10000000,BIHAR,Doctorate,0,0,0,0
INC,7,270000000,7600000,KARNATAKA,10th Pass,0,0,0,0
INC,1,260000000,3800000,KARNATAKA,Graduate Professional,0,0,0,0
BJP,0,4900000,3100000,MADHYA PRADESH,8th Pass,1,0,0,0
SP,1,6000000,1000000,UTTAR PRADESH,Graduate Professional,0,0,1,0
BJP,0,10000000,200000,MADHYA PRADESH,Graduate,0,0,0,0
BJP,0,4900000,9600000,UTTAR PRADESH,Post Graduate,1,0,0,0
BJP,0,10000000,2100000,MANIPUR,12th Pass,0,0,0,0
BJP,1,40000000,3500000,MADHYA PRADESH,10th Pass,0,0,0,0
BJP,0,170000000,0,TRIPURA,Doctorate,0,0,0,0
BJP,0,10000000,10000000,ANDHRA PRADESH,12th Pass,0,0,0,0
INC,1,920000000,140000000,HIMACHAL PRADESH,12th Pass,0,0,0,0
INC,0,140000000,100000000,RAJASTHAN,8th Pass,0,0,0,0
BJP,7,210000000,40000000,KERALA,12th Pass,0,0,0,0
SP,0,130000000,5300000,UTTAR PRADESH,Doctorate,1,0,1,0
AIADMK,0,10000000,100000000,TAMIL NADU,Post Graduate,0,0,0,0
INC,3,20000000,700000,TAMIL NADU,10th Pass,0,0,0,0
BJP,0,0,10000000,GUJARAT,12th Pass,0,0,0,0
AAP,4,140000000,40000000,PUNJAB,12th Pass,0,0,0,0
INC,0,0,4800000,RAJASTHAN,Post Graduate,0,0,0,0
INC,0,40000000,80000000,MAHARASHTRA,Graduate Professional,0,0,0,0
BJP,0,20000000,100000000,UTTARAKHAND,10th Pass,0,0,0,0
BJD,1,0,1100000,ODISHA,Graduate Professional,0,0,0,0
BJP,0,240000000,2800000,HIMACHAL PRADESH,Others,1,0,0,0
AITC,4,4500000,0,WEST BENGAL,Post Graduate,1,0,0,0
BJP,0,10000000,3300000,HARYANA,10th Pass,0,0,0,0
DMK,4,40000000,800000,TAMIL NADU,Post Graduate,0,0,0,0
BJP,0,100000000,20000000,HARYANA,Graduate Professional,0,0,0,0
BJP,0,250000000,0,GUJARAT,5th Pass,0,0,0,0
BJP,1,2700000,74000,GOA,Graduate Professional,0,0,0,0
AIADMK,1,110000000,30000000,TAMIL NADU,12th Pass,0,0,0,0
BJP,1,40000000,5200000,BIHAR,Graduate,0,0,0,0
BJP,0,60000000,900000,MANIPUR,Graduate Professional,0,0,0,0
BJP,0,6680000000,61000,RAJASTHAN,Graduate Professional,0,0,0,0
INC,0,50000000,7200000,KARNATAKA,Post Graduate,0,0,0,0
INC,3,1600000,90000,KARNATAKA,8th Pass,0,0,0,0
BJP,0,20000000,10000000,GUJARAT,10th Pass,0,1,0,0
Sikkim Krantikari Morcha,0,6200000,200000,SIKKIM,Graduate,0,0,0,0
BJP,0,40000000,0,WEST BENGAL,Graduate,1,0,0,0
SHS,7,270000000,4400000,KARNATAKA,12th Pass,0,0,0,0
AIADMK,0,10000000,1400000,DELHI,Graduate Professional,0,0,0,0
SP,0,40000000,1000000,UTTAR PRADESH,Graduate Professional,1,0,1,0
INC,0,280000000,80000000,KARNATAKA,Graduate Professional,0,0,0,0
YSRCP,6,140000000,0,ANDHRA PRADESH,Graduate Professional,0,0,0,0
BJP,1,18000,7600000,KARNATAKA,Graduate,0,0,0,0
BJP,0,20000000,10000000,HARYANA,12th Pass,1,0,0,0
BJP,0,40000000,220000000,KARNATAKA,Post Graduate,0,0,0,0
BJP,0,10000000,50000000,GUJARAT,Others,0,0,0,0
JD(U),4,10000000,10000000,BIHAR,Doctorate,1,0,0,0
BJP,10,8000000,230000000,RAJASTHAN,Graduate Professional,0,0,0,0
BJP,0,2700000,360000000,UTTAR PRADESH,12th Pass,0,0,0,0
RJD,0,20000000,500000,BIHAR,Post Graduate,0,0,0,0
INC,0,40000000,6100000,HIMACHAL PRADESH,Post Graduate,0,0,0,0
BJP,0,130000000,1000000,UTTAR PRADESH,Post Graduate,0,0,1,0
BJP,0,10000000,0,GUJARAT,8th Pass,0,1,0,0
BJP,0,10000000,10000000,CHHATTISGARH,Post Graduate,0,1,0,0
BJP,1,8700000,80000000,MADHYA PRADESH,Graduate,0,0,0,0
BJP,0,4300000,2600000,UTTAR PRADESH,Literate,1,0,0,0
BJD,0,30000000,500000,RAJASTHAN,12th Pass,0,0,0,0
INC,1,60000000,4800000,KARNATAKA,Graduate,0,0,0,0
JD(U),3,10000000,100000,BIHAR,Doctorate,0,0,0,0
SP,1,30000000,0,UTTAR PRADESH,Graduate Professional,0,0,0,0
AAP,0,0,0,WEST BENGAL,Graduate Professional,0,0,0,1
JMM,5,1100000,0,JHARKHAND,Graduate,0,0,0,0
RJD,0,10000000,2800000,BIHAR,Graduate,0,0,0,0
INC,1,0,2200000,KARNATAKA,Post Graduate,0,0,0,0
BJP,0,10000000,3200000,HARYANA,Post Graduate,0,0,0,0
CPI(M),1,10000000,6900000,KERALA,Graduate Professional,0,0,0,1
SP,1,40000000,1100000,UTTAR PRADESH,12th Pass,0,0,0,0
YSRCP,1,130000000,10000000,ANDHRA PRADESH,Graduate,0,0,0,0
BJP,0,20000000,0,BIHAR,5th Pass,1,0,0,0
JMM,4,10000000,1900000,JHARKHAND,Graduate,0,1,0,0
AITC,1,8300000,500000,WEST BENGAL,Post Graduate,1,0,0,0
BJP,0,10000000,20000000,HARYANA,10th Pass,0,0,0,0
SP,1,30000000,1100000,UTTAR PRADESH,12th Pass,0,0,0,0
BJP,1,60000000,8500000,UTTAR PRADESH,Post Graduate,0,0,0,0
SHS,6,180000000,500000,MAHARASHTRA,12th Pass,0,0,0,0
BJP,1,60000000,3300000,CHHATTISGARH,12th Pass,0,0,0,0
BJP,0,10000000,100000,UTTAR PRADESH,Graduate,0,0,0,0
AAP,0,4000000,31000,DELHI,Graduate Professional,0,0,0,0
CPI(M),7,3600000,1400000,KERALA,Graduate Professional,0,0,0,1
SP,1,40000000,0,UTTAR PRADESH,Graduate Professional,0,1,0,0
BJP,0,30000000,900000,MADHYA PRADESH,Graduate Professional,1,0,0,0
BJP,3,20000000,130000000,NAGALAND,10th Pass,0,1,0,0
INC,1,8900000,140000000,KARNATAKA,Graduate Professional,0,0,0,0
BJP,1,10000000,10000000,MAHARASHTRA,Doctorate,1,0,0,0
INC,4,320000000,260000000,KARNATAKA,Post Graduate,0,0,0,0
RJD,1,10000000,1400000,WEST BENGAL,12th Pass,0,0,0,0
BJP,1,3300000,470000000,KARNATAKA,Graduate,0,0,0,0
TDP,2,160000000,150000000,ANDHRA PRADESH,Graduate,0,0,0,0
JD(U),3,10000000,700000,TAMIL NADU,Post Graduate,0,0,0,0
BJP,0,100000000,700000,ASSAM,Graduate,0,0,0,0
BJP,0,10000000,400000,ARUNACHAL PRADESH,12th Pass,0,0,0,0
BJP,0,20000000,0,WEST BENGAL,Graduate Professional,0,0,0,0
AIADMK,1,0,1400000,DELHI,Graduate Professional,0,0,0,0
INC,0,40000000,2700000,UTTAR PRADESH,Post Graduate,0,0,0,0
BJP,4,3400000,0,UTTAR PRADESH,Literate,1,0,0,0
BJP,1,5700000,8400000,HIMACHAL PRADESH,Graduate Professional,1,0,0,0
BJP,0,130000000,900000,GUJARAT,5th Pass,0,0,0,0
INC,0,160000000,2700000,GOA,Graduate,0,1,0,0
SP,1,520000000,27000,UTTAR PRADESH,Post Graduate,0,0,0,0
BJP,0,130000000,10000000,UTTAR PRADESH,Doctorate,0,0,1,0
SHS,0,100000000,2500000,ANDHRA PRADESH,10th Pass,0,0,0,0
IND,1,40000000,700000,WEST BENGAL,Post Graduate,1,0,0,0
YSRCP,2,140000000,10000000,ANDHRA PRADESH,12th Pass,0,0,0,0
BJP,2,130000000,20000000,ANDHRA PRADESH,Graduate,0,0,0,0
AAP,1,20000000,3900000,DELHI,10th Pass,0,0,0,0
BJP,0,4300000,9000000,UTTAR PRADESH,Literate,1,0,0,0
AAP,1,10000000,1900000,DELHI,10th Pass,0,0,0,0
AIADMK,0,10000000,900000,TAMIL NADU,Graduate Professional,0,0,0,0
NCP,9,5500000,1400000,MAHARASHTRA,10th Pass,0,0,0,0
CPI(M),7,20000000,0,KERALA,Graduate Professional,0,0,0,1
BJP,0,60000000,0,UTTAR PRADESH,Graduate Professional,1,0,0,0
AAP,1,210000000,1400000,DELHI,12th Pass,0,0,0,0
AITC,4,110000000,0,WEST BENGAL,10th Pass,0,0,0,0
INC,0,2100000,1200000,RAJASTHAN,Graduate Professional,0,0,0,0
AAP,3,10000000,1400000,DELHI,12th Pass,0,0,0,0
BJP,2,10000000,1200000,UTTAR PRADESH,12th Pass,0,0,0,0
BJP,4,130000000,1000000,UTTAR PRADESH,Graduate Professional,1,0,1,0
INC,0,80000000,40000000,JHARKHAND,10th Pass,0,1,0,0
BJP,0,310000000,3000000,UTTAR PRADESH,Literate,0,0,0,0
BJP,2,190000000,9500000,UTTAR PRADESH,12th Pass,0,0,0,0
AIADMK,0,40000000,900000,TAMIL NADU,10th Pass,0,0,0,0
BJP,0,40000000,3000000,UTTAR PRADESH,Post Graduate,0,1,0,0
BJP,0,10000000,400000,UTTARAKHAND,Post Graduate,1,0,0,0
BJP,0,10000000,1700000,NAGALAND,8th Pass,0,0,0,0
INC,1,9800000,5900000,KARNATAKA,Post Graduate,0,0,0,0
AIADMK,1,0,800000,TAMIL NADU,Graduate Professional,0,0,0,0
INC,0,5300000,5700000,TRIPURA,Post Graduate,0,0,0,0
AAP,0,0,4300000,HARYANA,10th Pass,0,0,0,0
BJP,4,10000000,0,UTTAR PRADESH,Graduate,1,0,0,0
BJP,3,2300000,80000000,BIHAR,12th Pass,1,0,0,0
NDPP,0,10000000,1800000,NAGALAND,10th Pass,0,0,0,0
BJP,24,7900000,45000,GUJARAT,10th Pass,1,0,0,0
BJP,1,100000000,0,GUJARAT,Graduate Professional,0,0,0,0
INC,1,80000000,4800000,HARYANA,Post Graduate,0,0,1,0
BJP,0,340000000,5900000,HARYANA,Graduate Professional,0,0,0,0
AAP,0,150000000,30000000,HIMACHAL PRADESH,Post Graduate,0,1,0,0
CPI,5,10000000,100000,KERALA,Graduate Professional,0,0,0,1
BJP,0,60000000,700000,UTTAR PRADESH,Post Graduate,1,0,0,0
BJP,4,130000000,1000000,UTTAR PRADESH,Doctorate,0,0,1,0
INC,2,380000000,20000000,KARNATAKA,Graduate Professional,0,0,0,0
INC,7,280000000,140000000,KARNATAKA,Graduate Professional,0,0,0,1
RJD,3,10000000,2000000,BIHAR,Doctorate,1,0,0,0
BJP,0,170000000,10000000,ASSAM,Graduate,0,0,0,0
IND,7,7100000,100000,MANIPUR,Post Graduate,0,0,0,0
IND,0,220000000,40000000,RAJASTHAN,10th Pass,0,0,0,0
CPI(M),7,9000000,0,KERALA,Graduate Professional,0,0,0,0
BJP,0,10000000,20000000,HARYANA,10th Pass,0,0,0,0
AITC,18,90000000,900000,TAMIL NADU,12th Pass,0,0,0,0
YSRCP,0,160000000,1900000,ANDHRA PRADESH,Graduate Professional,0,0,0,0
YSRCP,1,40000000,20000000,UTTAR PRADESH,Post Graduate,0,0,0,0
SP,0,0,3600000,UTTAR PRADESH,Post Graduate,0,0,0,0
BJP,0,8000000,3400000,GUJARAT,12th Pass,0,0,0,0
BJP,0,10000000,1100000,GUJARAT,Others,0,0,0,0
BJP,0,6500000,0,UTTAR PRADESH,Literate,1,0,0,0
BJP,0,20000000,3800000,UTTARAKHAND,Others,0,0,0,0
DMK,22,150000000,4300000,TAMIL NADU,Graduate Professional,0,0,0,0
BJD,1,40000000,500000,ODISHA,Post Graduate,0,0,0,0
INC,1,10000000,8500000,KARNATAKA,Graduate Professional,0,0,0,0
BJP,1,110000000,1100000,UTTAR PRADESH,12th Pass,0,0,0,0
INC,4,80000000,40000000,MAHARASHTRA,Graduate Professional,0,1,0,0
INC,12,0,2800000,KERALA,12th Pass,0,0,0,0
BJD,0,40000000,3200000,MADHYA PRADESH,Post Graduate,0,0,0,0
INC,8,280000000,6900000,KARNATAKA,Graduate Professional,0,0,1,0
AAP,1,10000000,400000,PUNJAB,12th Pass,0,0,0,0
INC,10,9700000,40000000,KARNATAKA,Graduate Professional,0,0,0,0
INC,0,10000000,6500000,MADHYA PRADESH,Post Graduate,0,1,0,0
BJP,1,110000000,8500000,UTTAR PRADESH,12th Pass,0,0,0,0
BJP,0,80000000,0,ASSAM,Graduate,0,0,0,0
SP,1,2200000,2800000,UTTAR PRADESH,Graduate Professional,1,0,1,0
DMK,14,10000000,4300000,TAMIL NADU,10th Pass,0,0,0,0
AITC,4,100000000,4300000,WEST BENGAL,Post Graduate,1,0,0,0
BJP,0,10000000,20000000,GUJARAT,10th Pass,0,0,0,0
BJP,1,250000000,60000000,TRIPURA,Graduate,0,0,0,0
BJP,0,10000000,1800000,MADHYA PRADESH,Doctorate,0,0,0,0
BJP,1,10000000,900000,TAMIL NADU,12th Pass,0,0,0,0
